Fecha,agerange,Población
2021-06-20,<=39,1885076.0
2021-06-21,<=39,1931187.0
2021-06-22,<=39,1991527.0
2021-06-23,<=39,2054698.0
2021-06-24,<=39,2117423.0
2021-06-25,<=39,2181840.0
2021-06-26,<=39,2187534.0
2021-06-27,<=39,2187915.0
2021-06-28,<=39,2275495.0
2021-06-29,<=39,2382866.0
2021-06-30,<=39,2496564.0
2021-07-01,<=39,2618196.0
2021-07-02,<=39,2678560.0
2021-07-03,<=39,2701397.0
2021-07-04,<=39,2704347.0
2021-07-05,<=39,2733738.0
2021-07-06,<=39,2899829.0
2021-07-07,<=39,3033112.0
2021-07-08,<=39,3148615.0
2021-07-09,<=39,3237954.0
2021-07-10,<=39,3260968.0
2021-07-11,<=39,3263355.0
2021-07-12,<=39,3268904.0
2021-07-13,<=39,3405159.0
2021-07-14,<=39,3511360.0
2021-07-15,<=39,3574461.0
2021-07-16,<=39,3623808.0
2021-07-17,<=39,3638451.0
2021-07-18,<=39,3640059.0
2021-07-19,<=39,3712923.0
2021-07-20,<=39,3772404.0
2021-07-21,<=39,3841904.0
2021-07-22,<=39,3975797.0
2021-07-23,<=39,4085763.0
2021-07-24,<=39,4111009.0
2021-07-25,<=39,4114009.0
2021-07-26,<=39,4220250.0
2021-07-27,<=39,4330211.0
2021-07-28,<=39,4439217.0
2021-07-29,<=39,4524766.0
2021-07-30,<=39,4535816.0
2021-07-31,<=39,4549553.0
2021-08-01,<=39,4550834.0
2021-08-02,<=39,4618948.0
2021-08-03,<=39,4704744.0
2021-08-04,<=39,4767464.0
2021-08-05,<=39,4803864.0
2021-08-06,<=39,4853681.0
2021-08-07,<=39,4862999.0
2021-08-08,<=39,4863840.0
2021-08-09,<=39,4898866.0
2021-08-10,<=39,4932493.0
2021-08-11,<=39,4955735.0
2021-08-12,<=39,5032193.0
2021-08-13,<=39,5092570.0
2021-08-14,<=39,5101447.0
2021-08-15,<=39,5101903.0
2021-08-16,<=39,5122296.0
2021-08-17,<=39,5142755.0
2021-08-18,<=39,5194511.0
2021-08-19,<=39,5232398.0
2021-08-20,<=39,5259855.0
2021-08-21,<=39,5261648.0
2021-08-22,<=39,5261690.0
2021-08-23,<=39,5278577.0
2021-08-24,<=39,5294402.0
2021-08-25,<=39,5399318.0
2021-08-26,<=39,5469134.0
2021-08-27,<=39,5512512.0
2021-08-28,<=39,5513330.0
2021-08-29,<=39,5513467.0
2021-08-30,<=39,5530092.0
2021-08-31,<=39,5548141.0
2021-09-01,<=39,5617256.0
2021-09-02,<=39,5671179.0
2021-09-03,<=39,5720762.0
2021-09-04,<=39,5722238.0
2021-09-05,<=39,5722378.0
2021-09-06,<=39,5739917.0
2021-09-07,<=39,5752813.0
2021-09-08,<=39,5762987.0
2021-09-09,<=39,5837975.0
2021-09-10,<=39,5887266.0
2021-09-11,<=39,5888206.0
2021-09-12,<=39,5888334.0
2021-09-13,<=39,5944002.0
2021-09-14,<=39,6011456.0
2021-09-15,<=39,6041625.0
2021-09-16,<=39,6063553.0
2021-09-17,<=39,6079595.0
2021-09-18,<=39,6080838.0
2021-09-19,<=39,6081341.0
2021-09-20,<=39,6126124.0
2021-09-21,<=39,6173070.0
2021-09-22,<=39,6188617.0
2021-09-23,<=39,6198911.0
2021-09-24,<=39,6207488.0
2021-09-25,<=39,6208567.0
2021-09-26,<=39,6208870.0
2021-09-27,<=39,6239556.0
2021-09-28,<=39,6270943.0
2021-09-29,<=39,6283974.0
2021-09-30,<=39,6291125.0
2021-10-01,<=39,6292191.0
2021-10-02,<=39,6292466.0
2021-10-03,<=39,6292545.0
2021-10-04,<=39,6310386.0
2021-10-05,<=39,6328844.0
2021-10-06,<=39,6341970.0
2021-10-07,<=39,6350509.0
2021-10-08,<=39,6358085.0
2021-10-09,<=39,6358440.0
2021-10-10,<=39,6358469.0
2021-10-11,<=39,6371711.0
2021-10-12,<=39,6386876.0
2021-10-13,<=39,6396120.0
2021-10-14,<=39,6403141.0
2021-10-15,<=39,6408766.0
2021-10-16,<=39,6409008.0
2021-10-17,<=39,6409054.0
2021-10-18,<=39,6420667.0
2021-10-19,<=39,6432634.0
2021-10-20,<=39,6438593.0
2021-10-21,<=39,6443619.0
2021-10-22,<=39,6448362.0
2021-10-23,<=39,6448635.0
2021-10-24,<=39,6448684.0
2021-10-25,<=39,6449369.0
2021-10-26,<=39,6511202.0
2021-10-27,<=39,6562336.0
2021-10-28,<=39,6592910.0
2021-10-29,<=39,6610295.0
2021-10-30,<=39,6610697.0
2021-10-31,<=39,6610746.0
2021-11-01,<=39,6655584.0
2021-11-02,<=39,6707445.0
2021-11-03,<=39,6766956.0
2021-11-04,<=39,6813251.0
2021-11-05,<=39,6866801.0
2021-11-06,<=39,6868017.0
2021-11-07,<=39,6868077.0
2021-11-08,<=39,6943794.0
2021-11-09,<=39,7034979.0
2021-11-10,<=39,7133364.0
2021-11-11,<=39,7231121.0
2021-11-12,<=39,7319477.0
2021-11-13,<=39,7323550.0
2021-11-14,<=39,7323786.0
2021-11-15,<=39,7324395.0
2021-11-16,<=39,7413838.0
2021-11-17,<=39,7498747.0
2021-11-18,<=39,7576710.0
2021-11-19,<=39,7644667.0
2021-11-20,<=39,7648688.0
2021-11-21,<=39,7648877.0
2021-11-22,<=39,7689615.0
2021-11-23,<=39,7745753.0
2021-11-24,<=39,7800352.0
2021-11-25,<=39,7852607.0
2021-11-26,<=39,7898049.0
2021-11-27,<=39,7901497.0
2021-11-28,<=39,7901721.0
2021-11-29,<=39,7944864.0
2021-11-30,<=39,7988516.0
2021-12-01,<=39,8028618.0
