Fecha,agerange,Porcentaje de la población
2021-05-27,<=39,15.549563054518881
2021-05-28,<=39,15.701718315457578
2021-05-29,<=39,15.702838883867248
2021-05-30,<=39,15.703349863062058
2021-05-31,<=39,15.820677857828198
2021-06-01,<=39,15.937844490743345
2021-06-02,<=39,16.03582699248493
2021-06-03,<=39,16.13186418746733
2021-06-04,<=39,16.13477766533247
2021-06-05,<=39,16.146198498563834
2021-06-06,<=39,16.14698737872424
2021-06-07,<=39,16.241590246142266
2021-06-08,<=39,16.341365657339324
2021-06-09,<=39,16.421419064526184
2021-06-10,<=39,16.4904012558255
2021-06-11,<=39,16.558881432477282
2021-06-12,<=39,16.56942374007546
2021-06-13,<=39,16.57130629500371
2021-06-14,<=39,16.63945478340623
2021-06-15,<=39,16.71355573120092
2021-06-16,<=39,16.772255586773095
2021-06-17,<=39,16.829861767577437
2021-06-18,<=39,16.89246120121527
2021-06-19,<=39,16.90602456124592
2021-06-20,<=39,16.908176052592488
2021-06-21,<=39,17.321567185740847
2021-06-22,<=39,17.862595543024316
2021-06-23,<=39,18.428930817271777
2021-06-24,<=39,18.991043789751604
2021-06-25,<=39,19.568297882582897
2021-06-26,<=39,19.61929719204382
2021-06-27,<=39,19.622721649103774
2021-06-28,<=39,20.407782912371637
2021-06-29,<=39,21.370225672616705
2021-06-30,<=39,22.389207832540105
2021-07-01,<=39,23.479601576074984
2021-07-02,<=39,24.02087197613494
2021-07-03,<=39,24.2255953423081
2021-07-04,<=39,24.2520497213236
2021-07-05,<=39,24.515580517636266
2021-07-06,<=39,26.004887650466564
2021-07-07,<=39,27.199619759762683
2021-07-08,<=39,28.235060828487324
2021-07-09,<=39,29.036016234077955
2021-07-10,<=39,29.24238011240287
2021-07-11,<=39,29.263805380395773
2021-07-12,<=39,29.313576546879695
2021-07-13,<=39,30.535274014386125
2021-07-14,<=39,31.48744340345133
2021-07-15,<=39,32.05315115938938
2021-07-16,<=39,32.49553363843273
2021-07-17,<=39,32.62681943330973
2021-07-18,<=39,32.64123442533173
2021-07-19,<=39,33.29447202088596
2021-07-20,<=39,33.827755009321784
2021-07-21,<=39,34.45071932872036
2021-07-22,<=39,35.651000492781165
2021-07-23,<=39,36.63675107594738
2021-07-24,<=39,36.86305210741715
2021-07-25,<=39,36.88995471379652
2021-07-26,<=39,37.842213748334494
2021-07-27,<=39,38.82802708333165
2021-07-28,<=39,39.80532409841531
2021-07-29,<=39,40.572366621655675
2021-07-30,<=39,40.67146072725966
2021-07-31,<=39,40.79459774866152
2021-08-01,<=39,40.80608133372383
2021-08-02,<=39,41.416719400616024
2021-08-03,<=39,42.18592237975024
2021-08-04,<=39,42.74826843045928
2021-08-05,<=39,43.07467656137537
2021-08-06,<=39,43.52136202311186
2021-08-07,<=39,43.60488471009506
2021-08-08,<=39,43.6124328589026
2021-08-09,<=39,43.926487843670486
2021-08-10,<=39,44.2280193558919
2021-08-11,<=39,44.43643611554333
2021-08-12,<=39,45.12198193948518
2021-08-13,<=39,45.663234410450585
2021-08-14,<=39,45.742839590273576
2021-08-15,<=39,45.7469453529266
2021-08-16,<=39,45.92981315283755
2021-08-17,<=39,46.11320089649059
2021-08-18,<=39,46.57724172175605
2021-08-19,<=39,46.916809808075314
2021-08-20,<=39,47.162913524480786
2021-08-21,<=39,47.17900488684366
2021-08-22,<=39,47.1793813978293
2021-08-23,<=39,47.3307836367967
2021-08-24,<=39,47.4726834556501
2021-08-25,<=39,48.41326168508567
2021-08-26,<=39,49.03919326963305
2021-08-27,<=39,49.42810222416693
2021-08-28,<=39,49.43543522383981
2021-08-29,<=39,49.436663366816816
2021-08-30,<=39,49.58576171713393
2021-08-31,<=39,49.7475897245849
2021-09-01,<=39,50.367308877869064
2021-09-02,<=39,50.85074898344275
2021-09-03,<=39,51.2953098474745
2021-09-04,<=39,51.30853255470862
2021-09-05,<=39,51.30978759132745
2021-09-06,<=39,51.46711539604518
2021-09-07,<=39,51.582713233186794
2021-09-08,<=39,51.673999218112186
2021-09-09,<=39,52.3462506184417
2021-09-10,<=39,52.788149011932084
2021-09-11,<=39,52.79659361546736
2021-09-12,<=39,52.79775004206614
2021-09-13,<=39,53.296851211733376
2021-09-14,<=39,53.90159957106434
2021-09-15,<=39,54.172203395178855
2021-09-16,<=39,54.36887659789693
2021-09-17,<=39,54.512694829867684
2021-09-18,<=39,54.52382879758617
2021-09-19,<=39,54.52833796486668
2021-09-20,<=39,54.92985107287254
2021-09-21,<=39,55.35075449663932
2021-09-22,<=39,55.490171135896894
2021-09-23,<=39,55.58249700830646
2021-09-24,<=39,55.659430753040795
2021-09-25,<=39,55.66913039319491
2021-09-26,<=39,55.67184665101994
2021-09-27,<=39,55.9469058551313
2021-09-28,<=39,56.2282850650732
2021-09-29,<=39,56.34529033613735
2021-09-30,<=39,56.409404778265056
2021-10-01,<=39,56.418960985662736
2021-10-02,<=39,56.42142623616401
2021-10-03,<=39,56.42213443539892
2021-10-04,<=39,56.58203506518525
2021-10-05,<=39,56.74753853701995
2021-10-06,<=39,56.865225113677184
2021-10-07,<=39,56.94186302835137
2021-10-08,<=39,57.009751544882846
2021-10-09,<=39,57.01294292371358
2021-10-10,<=39,57.01320289558463
2021-10-11,<=39,57.131911430631476
2021-10-12,<=39,57.267849825545426
2021-10-13,<=39,57.350682242388274
2021-10-14,<=39,57.4136761161063
2021-10-15,<=39,57.46411065908875
2021-10-16,<=39,57.466280079529874
2021-10-17,<=39,57.46671934234647
2021-10-18,<=39,57.57087841716216
2021-10-19,<=39,57.67817508352493
2021-10-20,<=39,57.73163964348713
2021-10-21,<=39,57.77671338719771
2021-10-22,<=39,57.819214305839694
2021-10-23,<=39,57.8216705917937
2021-10-24,<=39,57.82210985461028
2021-10-25,<=39,57.82825953404256
2021-10-26,<=39,58.38262713767474
2021-10-27,<=39,58.841074085439125
2021-10-28,<=39,59.11532648029553
2021-10-29,<=39,59.27126478018526
2021-10-30,<=39,59.27487749273804
2021-10-31,<=39,59.27531675555463
2021-11-01,<=39,59.677304984566184
2021-11-02,<=39,60.14228708729578
2021-11-03,<=39,60.675830047602645
2021-11-04,<=39,61.09096030292282
2021-11-05,<=39,61.57108352600387
2021-11-06,<=39,61.58198441549314
2021-11-07,<=39,61.58252228832978
2021-11-08,<=39,62.26152399275916
2021-11-09,<=39,63.07923413721118
2021-11-10,<=39,63.961390412040174
2021-11-11,<=39,64.83801556119903
2021-11-12,<=39,65.63034707230885
2021-11-13,<=39,65.66685070882227
2021-11-14,<=39,65.66896634197973
2021-11-15,<=39,65.67442575127164
