FECHA_DEF,muertes_observadas,muertes_esperadas_HDI5%,muertes_esperadas_HDI50%,muertes_esperadas_HDI95%,muertes_exceso_HDI5%,muertes_exceso_HDI50%,muertes_exceso_HDI95%,muertes_exceso_acumulado_HDI5%,muertes_exceso_acumulado_HDI50%,muertes_exceso_acumulado_HDI95%
2018-06-11,2445,2180.1454063060596,2260.7978227598146,2344.550917933617,100.44908206638324,184.2021772401854,264.8545936939402,-7426.213706085686,-3933.9493141118855,-432.4045784724235
2018-06-18,2242,2178.000148615972,2260.4913233270145,2343.304858677176,-101.304858677176,-18.491323327014243,63.9998513840277,-7433.565379969072,-3956.442382609929,-451.08026852739573
2018-06-25,2354,2273.1752627153724,2354.8683931959513,2437.138649996154,-83.13864999615419,-0.8683931959510574,80.8247372846275,-7439.044167706649,-3955.639932455807,-433.6656807957244
2018-07-02,2347,2273.4399731966073,2354.92694187948,2436.101811328688,-89.1018113286882,-7.926941879479955,73.56002680339266,-7444.4301071481505,-3971.6739780234548,-443.83517727795237
2018-07-09,2279,2275.306747708259,2356.585633378372,2437.298390979287,-158.2983909792868,-77.585633378372,3.693252291740913,-7541.032321390658,-4047.144843758854,-515.8998515310077
2018-07-16,2356,2274.7630787514436,2355.5744687066403,2438.138210409257,-82.13821040925711,0.42553129335965423,81.23692124855629,-7530.276650132322,-4042.953142207111,-518.0678675947506
2018-07-23,2531,2276.2224731621477,2357.864832264438,2440.1032500956508,90.89674990434915,173.13516773556194,254.77752683785224,-7351.61307828141,-3870.5070714521953,-345.5980480088215
2018-07-30,2520,2161.5011436088525,2243.724070164548,2326.0571122009314,193.94288779906842,276.27592983545196,358.49885639114757,-7075.528245788775,-3589.076863299537,-60.061225689946
2018-08-06,2405,2161.6027799264125,2242.889346359588,2323.165456786691,81.83454321330915,162.11065364041178,243.39722007358728,-6916.794019221614,-3426.443147031665,104.30394586469825
2018-08-13,2287,2160.6588649060436,2244.911114175171,2326.2686397224325,-39.268639722432454,42.088885824829276,126.34113509395632,-6881.575074551952,-3380.9114555990654,148.3229526926025
2018-08-20,2391,2161.814240813243,2244.7094746280736,2327.2950087769764,63.704991223023676,146.29052537192638,229.18575918675688,-6723.673231732577,-3232.5041104817615,297.3541254403323
2018-08-27,2190,2103.1405913801145,2183.5735833194894,2263.0401945495555,-73.04019454955552,6.426416680510783,86.85940861988567,-6730.256197256272,-3219.0670044783938,298.5644479675124
2018-09-03,2196,2101.2904297193,2183.9496842975404,2263.8670705596865,-67.86707055968665,12.05031570245933,94.70957028069986,-6719.991503277441,-3215.643886760484,292.1348165121606
2018-09-10,2169,2101.5797503686144,2183.737430997646,2263.9536232113837,-94.95362321138391,-14.737430997646015,67.42024963138562,-6737.178472251653,-3223.3687667959202,289.59081347468987
2018-09-17,2178,2102.0025179233817,2185.06597569552,2267.2275830330104,-89.2275830330104,-7.065975695520365,75.99748207661813,-6750.814357719166,-3233.9760579201984,307.49782270046757
2018-09-24,2058,1956.0049135941522,2038.3141101281826,2119.881674210337,-61.88167421033708,19.685889871817494,101.99508640584774,-6717.050740178381,-3204.7128771594703,320.7321029523586
2018-10-01,2032,1958.855750274722,2039.4700851849875,2121.3156692906405,-89.31566929064066,-7.470085184987624,73.14424972527794,-6737.955244665118,-3221.7822306296093,304.36480106137367
2018-10-08,2004,1959.2372652975018,2039.8938129571875,2121.2271526726295,-117.2271526726294,-35.893812957187606,44.76273470249824,-6765.0067991535325,-3260.1144661348762,300.8673575181855
2018-10-15,1998,1958.7104568681457,2040.5693408778898,2121.7230503890055,-123.72305038900551,-42.56934087788966,39.289543131854366,-6820.921046941594,-3301.9576542999775,252.02089391357376
2018-10-22,2046,1958.2950298461515,2040.7786549638517,2123.5201016350247,-77.52010163502463,5.221345036148136,87.70497015384858,-6801.285119330818,-3296.321239862657,281.1232484330974
2018-10-29,1918,1884.6700869671602,1965.81743854056,2047.540239450105,-129.54023945010516,-47.81743854055992,33.32991303283992,-6857.350667184107,-3339.430449145104,213.8551989422306
